last_access,filepath,Size_GB
2018-08-07,VVVP_NFS_186VOL01,0.007838636
2018-10-02,VVVP_NFS_186VOL01,0.006913012
2018-10-03,VVVP_NFS_186VOL01,0.00383661
2018-10-04,VVVP_NFS_186VOL01,0.036136553999999994
2018-10-05,VVVP_NFS_186VOL01,0.012542098000000002
2018-10-09,VVVP_NFS_186VOL01,0.09720916600000001
2018-10-10,VVVP_NFS_186VOL01,0.177612378
2018-10-11,VVVP_NFS_186VOL01,0.030414456
2018-10-12,VVVP_NFS_186VOL01,0.042169361999999995
2018-10-13,VVVP_NFS_186VOL01,0.017464986000000002
2018-10-16,VVVP_NFS_186VOL01,0.08079054000000001
2018-10-18,VVVP_NFS_186VOL01,0.035461233
2018-10-22,VVVP_NFS_186VOL01,0.07189719
2018-10-23,VVVP_NFS_186VOL01,0.020301352
2018-10-25,VVVP_NFS_186VOL01,0.00106626
2018-10-26,VVVP_NFS_186VOL01,0.3455743169999999
2018-10-27,VVVP_NFS_186VOL01,0.09903871
2018-10-29,VVVP_NFS_186VOL01,0.2867466769999999
2018-10-30,VVVP_NFS_186VOL01,0.11355599199999993
2018-10-31,VVVP_NFS_186VOL01,0.10448226799999999
2018-11-02,VVVP_NFS_186VOL01,0.05131474800000001
2018-11-05,VVVP_NFS_186VOL01,0.16253413300000003
2018-11-06,VVVP_NFS_186VOL01,0.042014448
2018-11-13,VVVP_NFS_186VOL01,0.10297125200000003
2018-11-15,VVVP_NFS_186VOL01,0.030776299999999996
2018-11-16,VVVP_NFS_186VOL01,0.011423393
2018-11-22,VVVP_NFS_186VOL01,0.8851601040000002
2018-11-23,VVVP_NFS_186VOL01,0.244169562
2018-11-26,VVVP_NFS_186VOL01,0.19069395200000008
2018-11-29,VVVP_NFS_186VOL01,0.029710986000000005
2018-12-03,VVVP_NFS_186VOL01,0.07558665600000002
2018-12-04,VVVP_NFS_186VOL01,0.17956892630000007
2018-12-05,VVVP_NFS_186VOL01,0.010933331900000004
2018-12-06,VVVP_NFS_186VOL01,0.5098441742
2018-12-07,VVVP_NFS_186VOL01,0.14256383099999997
2018-12-10,VVVP_NFS_186VOL01,0.009089570000000002
2018-12-11,VVVP_NFS_186VOL01,0.05237774699999999
2018-12-13,VVVP_NFS_186VOL01,0.17076459949999992
2018-12-14,VVVP_NFS_186VOL01,0.025301769
2018-12-17,VVVP_NFS_186VOL01,0.025301656
2018-12-18,VVVP_NFS_186VOL01,0.026477860999999995
2018-12-19,VVVP_NFS_186VOL01,0.012834966
2018-12-20,VVVP_NFS_186VOL01,0.1952133099999999
2018-12-22,VVVP_NFS_186VOL01,0.054247798
2018-12-24,VVVP_NFS_186VOL01,0.15755611299999997
2018-12-25,VVVP_NFS_186VOL01,0.002425866
2018-12-26,VVVP_NFS_186VOL01,0.04704422600000001
2018-12-27,VVVP_NFS_186VOL01,0.030848912000000003
2018-12-28,VVVP_NFS_186VOL01,0.033096379
2018-12-29,VVVP_NFS_186VOL01,0.31894565699999994
2018-12-31,VVVP_NFS_186VOL01,0.034723263
2019-01-02,VVVP_NFS_186VOL01,0.014562900999999998
2019-01-03,VVVP_NFS_186VOL01,0.006569157000000001
2019-01-04,VVVP_NFS_186VOL01,0.066495733
2019-01-07,VVVP_NFS_186VOL01,0.001221753
2019-01-09,VVVP_NFS_186VOL01,0.005164165
2019-01-10,VVVP_NFS_186VOL01,0.105492982
2019-01-11,VVVP_NFS_186VOL01,0.015511833999999999
2019-01-15,VVVP_NFS_186VOL01,0.08064216099999999
2019-01-16,VVVP_NFS_186VOL01,0.129281499
2019-01-17,VVVP_NFS_186VOL01,0.009246537
2019-01-19,VVVP_NFS_186VOL01,0.009250305
2019-01-23,VVVP_NFS_186VOL01,0.066900057
2019-01-24,VVVP_NFS_186VOL01,0.017244183
2019-01-25,VVVP_NFS_186VOL01,0.067141022
2019-01-26,VVVP_NFS_186VOL01,0.021453777000000004
2019-01-29,VVVP_NFS_186VOL01,0.027277449999999995
2019-01-31,VVVP_NFS_186VOL01,0.001522207
2019-02-01,VVVP_NFS_186VOL01,0.066364504
2019-02-02,VVVP_NFS_186VOL01,0.025754698
2019-02-04,VVVP_NFS_186VOL01,0.2234497129
2019-02-05,VVVP_NFS_186VOL01,0.245683168
2019-02-06,VVVP_NFS_186VOL01,0.021740502
2019-02-07,VVVP_NFS_186VOL01,0.020954058
2019-02-08,VVVP_NFS_186VOL01,0.11969348599999999
2019-02-09,VVVP_NFS_186VOL01,0.021791642
2019-02-12,VVVP_NFS_186VOL01,0.015112023999999998
2019-02-13,VVVP_NFS_186VOL01,0.021785976999999998
2019-02-14,VVVP_NFS_186VOL01,0.116387526
2019-02-15,VVVP_NFS_186VOL01,0.092243271
2019-02-19,VVVP_NFS_186VOL01,0.022180830999999998
2019-02-20,VVVP_NFS_186VOL01,0.024286529
2019-02-21,VVVP_NFS_186VOL01,0.004403864
2019-02-25,VVVP_NFS_186VOL01,0.037977128
2019-02-27,VVVP_NFS_186VOL01,0.009209122
2019-02-28,VVVP_NFS_186VOL01,0.000861507
2019-03-01,VVVP_NFS_186VOL01,0.335017889
2019-03-02,VVVP_NFS_186VOL01,0.092931293
2019-03-03,VVVP_NFS_186VOL01,0.00398692
2019-03-04,VVVP_NFS_186VOL01,0.06899261399999998
2019-03-05,VVVP_NFS_186VOL01,0.000995636
2019-03-10,VVVP_NFS_186VOL01,0.002212162
2019-03-12,VVVP_NFS_186VOL01,0.10777352600000001
2019-03-13,VVVP_NFS_186VOL01,0.049142402999999994
2019-03-14,VVVP_NFS_186VOL01,0.11999059000000002
2019-03-18,VVVP_NFS_186VOL01,0.003526468
2019-03-19,VVVP_NFS_186VOL01,0.09680539549999999
2019-03-20,VVVP_NFS_186VOL01,0.09702537400000001
2019-03-22,VVVP_NFS_186VOL01,0.024937161000000003
2019-03-25,VVVP_NFS_186VOL01,0.049547775
2019-03-27,VVVP_NFS_186VOL01,0.391138335
2019-03-28,VVVP_NFS_186VOL01,0.052000397
2019-04-01,VVVP_NFS_186VOL01,0.05058509099999999
2019-04-02,VVVP_NFS_186VOL01,0.017670277999999998
2019-04-03,VVVP_NFS_186VOL01,0.014755513
2019-04-05,VVVP_NFS_186VOL01,0.06032651640000002
2019-04-07,VVVP_NFS_186VOL01,0.16261277000000002
2019-04-08,VVVP_NFS_186VOL01,0.056025382
2019-04-10,VVVP_NFS_186VOL01,0.020030695999999997
2019-04-11,VVVP_NFS_186VOL01,0.19162107400000003
2019-04-12,VVVP_NFS_186VOL01,0.04542573900000001
2019-04-13,VVVP_NFS_186VOL01,0.11647170000000001
2019-04-15,VVVP_NFS_186VOL01,0.000743518
2019-04-16,VVVP_NFS_186VOL01,0.024837526999999998
2019-04-17,VVVP_NFS_186VOL01,0.017539448
2019-04-18,VVVP_NFS_186VOL01,0.12246018759999994
2019-04-19,VVVP_NFS_186VOL01,0.000704297
2019-04-20,VVVP_NFS_186VOL01,0.0049703718
2019-04-22,VVVP_NFS_186VOL01,0.06709763029999999
2019-04-23,VVVP_NFS_186VOL01,0.000706132
2019-04-24,VVVP_NFS_186VOL01,0.18149294630000004
2019-04-25,VVVP_NFS_186VOL01,0.056862167000000005
2019-04-26,VVVP_NFS_186VOL01,0.057088195
2019-04-29,VVVP_NFS_186VOL01,0.061632152
2019-04-30,VVVP_NFS_186VOL01,0.05638398749999999
2019-05-03,VVVP_NFS_186VOL01,0.206678092
2019-05-06,VVVP_NFS_186VOL01,0.7518965416000003
2019-05-07,VVVP_NFS_186VOL01,0.14575505660000004
2019-05-09,VVVP_NFS_186VOL01,0.040654301000000004
