IP,mount
1.1.2.49,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.50,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.51,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.52,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.53,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.54,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.55,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.56,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.57,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.58,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.59,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.60,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.61,"1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.64,"3.3.11.195:/SAS_DB_BACKUP_VOL1 on //db-backup-sas type  (rw,vers=3,proto=tcp,nolock,addr=3.3.11.195)\n1.1.132.15:/abcd_Db_Backup_Vol1 on /abcd_Db_Backup_Vol1 type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)\n1.1.132.15:/abcd-nas-db-vol1/ on /abcd-nas-db-vol1 type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.2.65,"3.3.11.29:/_aq_Vol1 on //data type  (rw,addr=3.3.11.29)\n3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.66,"3.3.11.29:/_aq_Vol1 on //data type  (rw,addr=3.3.11.29)\n3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.67,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)\n1.2.32.12:/xyz17 on /ssoprofiles type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)"
1.1.2.68,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.2.32.12:/xyz17 on /ssoprofiles type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.69,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)\n1.2.32.12:/xyz17 on /ssoprofiles type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)"
1.1.2.70,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.71,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.72,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)\n1.2.32.12:/xyz17 on /ssoprofiles type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)"
1.1.2.73,"3.3.11.195:/SAS_DB_BACKUP_VOL1 on //db-backup-sas type  (rw,vers=3,proto=tcp,nolock,addr=3.3.11.195)\n1.1.132.15:/abcd_Db_Backup_Vol1 on /abcd_Db_Backup_Vol1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-nas-db-vol1/ on /abcd-nas-db-vol1 type  (rw,addr=1.1.132.15)"
1.1.2.74,"3.3.11.195:/SAS_DB_BACKUP_VOL1 on //db-backup-sas type  (rw,vers=3,proto=tcp,nolock,addr=3.3.11.195)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.79,"1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.80,"1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.2.86,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.2.87,"1.1.132.15:/abcd-1 on // type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
1.1.2.88,"3.3.11.16:/1 on //1 type  (rw,addr=3.3.11.16)"
1.1.2.94,"1.1.132.15:/stagepgc on /stagepgc type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=tcp,local_lock=all,addr=1.1.132.15)"
1.1.2.95,"1.1.132.15:/stagepgc on /stagepgc type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=tcp,local_lock=all,addr=1.1.132.15)"
1.1.24.115,"1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)"
1.1.24.131,"1.1.132.15:/abcd- on / type  (rw,addr=1.1.132.15)\n1.1.132.15:/dh-publish-dev/dh-marketing-engine on /dh-marketing-engine type  (rw,addr=1.1.132.15)"
1.1.24.135,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)"
1.1.24.149,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,addr=1.2.32.252)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.32.116)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (ro,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.116)"
1.1.24.150,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,addr=1.2.32.252)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.32.135)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (ro,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.135)"
1.1.24.151,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (rw,addr=1.2.32.252)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (ro,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.136)"
1.1.24.152,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.32.137)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (ro,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.137)"
1.1.24.154,"1.1.132.15:/abcd_storage4/var/2/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.166,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)"
1.1.24.168,"1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.219)"
1.1.24.170,"1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)"
1.1.24.171,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)"
1.1.24.172,"1.1.132.15:/abcd_misc1/vt_wap on /vt type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-vh-dev/dh on /dh type  (rw,addr=1.1.132.15)"
1.1.24.173,"1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)"
1.1.24.175,"1.2.32.12:/xyz9 on /vt- type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz9 on /vt type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_Db_Backup_Vol1/mongodb_backup on /mongodb_backup type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.32.215)"
1.1.24.189,"1.2.32.13:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.73)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.240)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.240)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.240)"
1.1.24.190,"1.2.32.13:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.74)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.241)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.241)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.241)"
1.1.24.191,"1.2.32.13:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.13:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.81)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.242)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.242)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.242)"
1.1.24.192,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.75)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.243)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.243)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.243)"
1.1.24.193,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd-analytics3 on /analytics3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-1 on / type  (rw,addr=1.1.132.15)\n1.2.32.12:/xyz18 on /srini-test type  (rw,addr=1.2.32.12)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.151)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.244)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.244)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.244)"
1.1.24.194,"1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage3 on /storage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.245)"
1.1.24.195,"1.1.132.15:/abcd_storage2 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage3 on /storage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-1 on / type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.246)"
1.1.24.196,"1.1.132.15:/abcd-vt-logs on /vt-logs type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_BRIC9_TEMPSTOR/ on /vt type  (ro,vers=4,addr=1.2.32.252,clientaddr=1.2.32.247)"
1.1.24.198,"1.2.32.12:/xyz4 on /icarus-1 type  (rw,vers=3,proto=tcp,nolock,noac,acl,addr=1.2.32.12)\n1.2.10.210:/PQRST_VMVOL08 on /data type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.13)"
1.1.24.199,"1.1.132.15:/abcd_storage4/var/2/ on /var/ type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4/var/2 on //vol2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4/var/2/database on //vol1/database type  (rw,addr=1.1.132.15)"
1.1.24.20,"1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.20)"
1.1.24.200,"1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage3 on /storage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4 on /storage4 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage5 on /storage5 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_VMVol18 on /netapp-newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.43)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.236)"
1.1.24.201,"1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage3 on /storage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4 on /storage4 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage5 on /storage5 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,addr=1.1.132.15)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.237)"
1.1.24.203,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.76)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.254)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.254)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.32.254)"
1.1.24.205,"1.2.32.12:/xyz4 on /icarus-1 type  (rw,vers=3,proto=tcp,nolock,noac,acl,addr=1.2.32.12)\n1.2.10.210:/PQRST_VMVOL08 on /data type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.15)"
1.1.24.206,"1.1.132.15:/abcd--nhpub on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.210,"1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.211,"1.1.132.15:/abcd_misc1/var/4 on /var/-old type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-backup2/-backup on /var/-backup type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.214,"1.1.132.15:/abcd_misc1/var/4 on /var/-old type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-backup2/-backup on /var/-backup type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.215,"1.1.132.15:/abcd_misc1/var/4 on /var/-old type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-backup2/-backup on /var/-backup type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.216,"1.1.132.15:/abcd_misc1/var/4 on /var/-old type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-backup2/-backup on /var/-backup type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_Db_Backup_Vol1/var/ on /var/ type  (rw,addr=1.1.132.15)"
1.1.24.224,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,noac,acl,addr=1.2.32.12)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd_storage1 on /storage1 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2 on /storage2 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage3 on /storage3 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4 on /storage4 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage5 on /storage5 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.152)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.19)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.19)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.19)"
1.1.24.227,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd_-original on /-original type  (rw,addr=1.1.132.15)\n1.2.32.13:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.13)\n1.2.32.252:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.22)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.22)\n1.2.32.252:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.22)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.33.22)"
1.1.24.231,"1.1.132.15:/abcd-nas-db-vol1 on //abcd-nas-db-vol1 type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
