IP,mount
1.1.1.45,"1.2.32.12:/xyz7 on /storage-1 type  (rw,relatime,vers=3,rsize=1048576,wsize=1048576,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.12,mountvers=3,mountport=38465,mountproto=tcp,local_lock=all,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,relatime,vers=3,rsize=1048576,wsize=1048576,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.12,mountvers=3,mountport=38465,mountproto=tcp,local_lock=all,addr=1.2.32.12)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,relatime,vers=3,rsize=1048576,wsize=1048576,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.12,mountvers=3,mountport=38465,mountproto=tcp,local_lock=all,addr=1.2.32.12)\n1.1.132.15:/__vol1 on /__vol1-New type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=tcp,local_lock=all,addr=1.1.132.15)\n1.2.32.12:/xyz13 on /newshunt type  (rw,relatime,vers=3,rsize=1048576,wsize=1048576,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.12,mountvers=3,mountport=38465,mountproto=tcp,local_lock=all,addr=1.2.32.12)\n1.1.132.15:/__vol2 on /__vol1-New1 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage4 on /storage4 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage6 on /storage6 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage7 on /storage7 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2 on /storage2 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage5 on /storage5 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd_storage1 on /storage1 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.1.132.15:/abcd- on / type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.2.10.210:/PQRST_186VOL02 on /__ivg type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.10.210,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.10.210)\n1.1.132.15:/abcd-1 on // type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=tcp,local_lock=all,addr=1.1.132.15)\n1.1.132.15:/abcd_misc1/vt_wap on /vt type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)\n1.2.32.252:/PQRST_186VOL01 on /video-assets-vol1 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_BRIC9_VOL01 on /video-assets-vol2 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_185_186VOL05 on /recrawl type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_186VOL03 on /video-assets-vol3 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_186VOL04 on /video-assets-vol4 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL03 on /video-assets-vol5 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL04 on /video-assets-vol7 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL06 on /video-assets-vol8 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL07 on /video-assets-vol9 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVol16 on /video-assets-vol15 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL28 on /video-assets-vol16 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL29 on /video-assets-vol17 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL30 on /video-assets-vol18 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL31 on /video-assets-vol19 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL32 on /video-assets-vol20 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL33 on /video-assets-vol21 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL34 on /video-assets-vol22 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL35 on /video-assets-vol23 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL36 on /video-assets-vol24 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL17 on /video-assets-vol25 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL39 on /video-assets-vol26 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL40 on /video-assets-vol27 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL41 on /video-assets-vol28 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL43 on /video-assets-vol29 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL45 on /video-assets-vol30 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)\n1.2.32.252:/PQRST_VMVOL46 on /video-assets-vol31 type  (ro,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.252,mountvers=3,mountport=635,mountproto=tcp,local_lock=all,addr=1.2.32.252)"
1.1.1.5,"1.2.32.12:/xyz7 on /storage-1 type  (rw,vers=3,addr=1.2.32.12)\n1.2.32.12:/xyz10 on /storage-2 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz11 on /storage-3 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.2.32.12:/xyz6 on /storage-4 type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)\n1.1.132.15:/abcd_-original on /-original type  (rw,addr=1.1.132.15)\n1.2.10.210:/PQRST_VMVol19/storage-2 on /netapp-storage-2 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.235)\n1.2.32.252:/PQRST_VMVol19/storage-4 on /netapp-storage-4 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.39.69)\n1.2.10.210:/PQRST_VMVol18 on /newshunt type  (rw,vers=4,proto=tcp,nolock,addr=1.2.10.210,clientaddr=1.2.10.235)\n1.2.32.252:/PQRST_VMVOL21/storage-netapp5 on /storage-netapp5 type  (rw,vers=4,proto=tcp,nolock,addr=1.2.32.252,clientaddr=1.2.39.69)"
1.1.1.59,"1.2.32.12:/xyz12 on /data type  (rw,vers=3,proto=tcp,nolock,addr=1.2.32.12)"
1.1.1.60,"1.1.132.15:/abcd-hijkl1 on /hijkl1 type  (rw,addr=1.1.132.15)"
1.1.10.10,"1.1.132.15:/abcd-nas-db-vol1 on //db-backup-sas type  (rw,relatime,vers=3,rsize=65536,wsize=65536,naen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.1.132.15,mountvers=3,mountport=4048,mountproto=udp,local_lock=none,addr=1.1.132.15)"
1.1.10.101,"1.1.2.199:/bopt/admin-backup on /admin-backup type  (rw,vers=4,addr=1.1.2.199,clientaddr=1.1.10.101)"
1.1.10.103,"1.1.2.199:/bopt/admin-backup on /admin-backup type  (rw,vers=4,addr=1.1.2.199,clientaddr=1.1.10.103)"
1.1.10.106,"1.2.32.13:/xyz12 on /data type  (rw,relatime,vers=3,rsize=1048576,wsize=1048576,naen=255,hard,nolock,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=1.2.32.13,mountvers=3,mountport=38465,mountproto=tcp,local_lock=all,addr=1.2.32.13)"
1.1.10.114,"1.1.132.15:/abcd-1 on /abcd- type  (rw,addr=1.1.132.15)"
1.1.10.116,"1.1.132.15:/abcd_misc1/var/3 on /var/ type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd_storage2//data on //data type  (rw,addr=1.1.132.15)\n1.1.132.15:/abcd-1 on /newsSSO type  (rw,vers=3,proto=tcp,nolock,addr=1.1.132.15)"
