,IP,mount
799,1.1.25.5,1.2.10.210:/PQRST_VMVOL45
799,1.1.25.5,1.2.10.210:/PQRST_VMVOL46
800,1.1.25.54,1.2.10.210:/PQRST_186VOL01
800,1.1.25.54,1.1.132.15:/abcd-vt-logs
800,1.1.25.54,1.2.10.210:/PQRST_BRIC9_VOL01
800,1.1.25.54,1.2.32.252:/PQRST_BRIC9_TEMPSTOR/
800,1.1.25.54,1.2.32.252:/PQRST_185_186VOL05/
800,1.1.25.54,1.2.32.252:/PQRST_186VOL03
800,1.1.25.54,1.2.10.210:/PQRST_186VOL04
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL03
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL04
800,1.1.25.54,1.2.32.252:/PQRST_VMVOL06
800,1.1.25.54,1.2.32.252:/PQRST_VMVOL07
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL09
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL11
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL12
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL13
800,1.1.25.54,1.2.10.210:/PQRST_VMVol15
800,1.1.25.54,1.2.10.210:/PQRST_VMVol16
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL28
800,1.1.25.54,1.2.32.252:/PQRST_VMVOL29
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL30
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL31
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL32
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL33
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL34
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL35
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL36
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL17
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL39
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL40
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL41
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL43
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL45
800,1.1.25.54,1.2.10.210:/PQRST_VMVOL46
801,1.1.25.55,1.2.32.12:/xyz7
801,1.1.25.55,1.2.32.12:/xyz10
801,1.1.25.55,1.2.32.12:/xyz6
801,1.1.25.55,1.1.132.15:/abcd_-original
801,1.1.25.55,1.1.132.15:/abcd_storage2
801,1.1.25.55,1.1.132.15:/abcd_storage5
801,1.1.25.55,1.1.132.15:/abcd_storage6
801,1.1.25.55,1.1.132.15:/abcd_storage1
801,1.1.25.55,1.1.132.15:/abcd_storage3
801,1.1.25.55,1.1.132.15:/abcd_storage4
801,1.1.25.55,1.2.32.13:/xyz11
801,1.1.25.55,1.2.10.210:/PQRST_VMVol19/storage-2
801,1.1.25.55,1.2.32.252:/PQRST_VMVol19/storage-4
801,1.1.25.55,1.2.32.252:/PQRST_VMVol18
801,1.1.25.55,1.2.32.252:/PQRST_VMVOL21/storage-netapp5
802,1.1.25.56,1.2.32.252:/PQRST_VMVol18
803,1.1.25.57,1.2.32.252:/PQRST_VMVol18
804,1.1.25.59,1.2.32.12:/xyz7
804,1.1.25.59,1.2.32.12:/xyz10
804,1.1.25.59,1.2.32.12:/xyz6
804,1.1.25.59,1.1.132.15:/abcd_-original
804,1.1.25.59,1.1.132.15:/abcd_storage1
804,1.1.25.59,1.2.32.13:/xyz11
804,1.1.25.59,1.2.10.210:/PQRST_VMVol19/storage-2
804,1.1.25.59,1.2.32.252:/PQRST_VMVol19/storage-4
804,1.1.25.59,1.2.32.252:/PQRST_VMVol18
804,1.1.25.59,1.2.32.252:/PQRST_VMVOL21/storage-netapp5
805,1.1.25.6,1.1.132.15:/abcd-vt-logs
805,1.1.25.6,1.2.10.210:/PQRST_186VOL01
805,1.1.25.6,1.2.10.210:/PQRST_BRIC9_VOL01
805,1.1.25.6,1.2.32.252:/PQRST_185VOL01
805,1.1.25.6,1.2.10.210:/PQRST_186VOL03
805,1.1.25.6,1.2.10.210:/PQRST_185_186VOL05
805,1.1.25.6,1.2.10.210:/PQRST_186VOL04
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL03
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL04
805,1.1.25.6,1.2.32.252:/PQRST_VMVOL06
805,1.1.25.6,1.2.32.252:/PQRST_VMVOL07
805,1.1.25.6,1.2.32.252:/PQRST_185_186VOL04
805,1.1.25.6,1.2.32.252:/PQRST_185VOL02
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL09
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL11
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL12
805,1.1.25.6,1.2.10.210:/PQRST_VMVOL13
