,IP,mount
879,1.1.3.86,3.3.11.197:/static_Log_VOL3/cronbackup
880,1.1.3.87,3.3.11.197:/static_Log_VOL3
880,1.1.3.87,3.3.11.197:/static_Log_VOL3/cronbackup
881,1.1.3.88,3.3.11.197:/static_Log_VOL3
881,1.1.3.88,3.3.11.197:/static_Log_VOL3/cronbackup
882,1.1.7.104,1.1.132.15:/abcd-vh-dev
883,1.1.7.106,1.1.132.15:/abcd-vh-dev
884,1.1.7.110,1.2.32.12:/xyz12
885,1.1.7.132,1.1.132.15:/abcd-1
886,1.1.7.138,1.2.32.12:/xyz15
887,1.1.7.139,1.1.132.15:/abcd-hijkl1
888,1.1.7.143,1.1.132.15:/abcd-vh-dev
889,1.1.7.144,1.1.132.15:/abcd-vh-dev
890,1.1.7.150,1.2.32.12:/xyz12
891,1.1.7.152,1.2.32.12:/xyz15
892,1.1.7.157,1.2.32.12:/xyz15
893,1.1.7.164,1.2.32.12:/xyz16
894,1.1.7.177,1.2.32.12:/xyz15
895,1.1.7.18,1.1.2.199:/bopt/admin-backup
896,1.1.7.27,1.1.132.15:/__vol2
896,1.1.7.27,1.1.132.15:/__vol1
897,1.1.7.30,1.1.132.15:/abcd_inventoryestimation
898,1.1.7.34,1.1.132.15:/abcd_inventoryestimation
899,1.1.7.37,1.1.132.15:/abcd_inventoryestimation
900,1.1.7.42,1.2.32.12:/xyz7
900,1.1.7.42,1.2.32.12:/xyz10
900,1.1.7.42,1.2.32.12:/xyz11
900,1.1.7.42,1.2.32.12:/xyz6
900,1.1.7.42,1.1.132.15:/abcd-vh-dev
900,1.1.7.42,1.1.132.15:/abcd_misc1/vt_wap
900,1.1.7.42,1.1.132.15:/abcd-vt-aq
900,1.1.7.42,1.2.32.252:/PQRST_186VOL01
900,1.1.7.42,1.2.32.252:/PQRST_BRIC9_VOL01
900,1.1.7.42,1.2.32.252:/PQRST_186VOL03
900,1.1.7.42,1.2.32.252:/PQRST_BRIC9_TEMPSTOR/
900,1.1.7.42,1.2.32.252:/PQRST_185_186VOL05
900,1.1.7.42,1.1.132.15:/dh-publish-dev/dh-marketing-engine
900,1.1.7.42,1.1.132.15:/dh-publish-dev
901,1.1.7.46,1.2.32.12:/xyz7
901,1.1.7.46,1.2.32.12:/xyz10
901,1.1.7.46,1.2.32.12:/xyz6
901,1.1.7.46,1.2.32.12:/xyz15
901,1.1.7.46,1.2.32.12:/xyz17
901,1.1.7.46,1.2.10.210:/PQRST_186VOL01
901,1.1.7.46,1.2.10.210:/PQRST_BRIC9_VOL01
901,1.1.7.46,1.2.32.252:/PQRST_185_186VOL05
901,1.1.7.46,1.2.32.12:/xyz18
901,1.1.7.46,1.2.32.12:/xyz11
902,1.1.7.52,1.1.132.15:/abcd-1
903,1.1.7.56,1.1.2.199:/bopt/admin-backup
904,1.1.7.57,1.2.32.12:/xyz15
904,1.1.7.57,1.2.32.12:/xyz17
904,1.1.7.57,1.2.32.12:/xyz7
904,1.1.7.57,1.2.32.12:/xyz10
904,1.1.7.57,1.2.32.12:/xyz11
904,1.1.7.57,1.2.32.12:/xyz6
904,1.1.7.57,1.2.32.12:/xyz6
904,1.1.7.57,1.2.32.12:/xyz10
904,1.1.7.57,1.2.10.210:/PQRST_186VOL01
904,1.1.7.57,1.2.32.12:/xyz7
904,1.1.7.57,1.2.32.252:/PQRST_BRIC9_VOL01
904,1.1.7.57,1.2.32.252:/PQRST_185_186VOL05
904,1.1.7.57,1.2.32.12:/xyz18
904,1.1.7.57,1.2.32.12:/xyz11
905,1.1.7.58,1.1.132.15:/abcd-
905,1.1.7.58,1.1.132.15:/abcd-1
905,1.1.7.58,1.1.132.15:/abcd_Db_Backup_Vol1
905,1.1.7.58,1.1.132.15:/__vol1
905,1.1.7.58,1.1.132.15:/__vol2
905,1.1.7.58,1.1.132.15:/dh-publish-dev
905,1.1.7.58,1.1.132.15:/abcd-analytics1
905,1.1.7.58,1.1.132.15:/abcd-analytics2
905,1.1.7.58,1.1.132.15:/abcd-analytics3
905,1.1.7.58,1.1.132.15:/abcd-backup2
905,1.1.7.58,1.1.132.15:/abcd-vt-logs
905,1.1.7.58,1.1.132.15:/abcd-vt-aq
905,1.1.7.58,1.1.132.15:/abcd-1
905,1.1.7.58,1.1.132.15:/abcd-nas-db-vol1
905,1.1.7.58,1.1.132.15:/abcd--nhpub
905,1.1.7.58,1.1.132.15:/abcd-hijkl1
905,1.1.7.58,1.1.132.15:/abcd-vh-dev
905,1.1.7.58,1.1.132.15:/abcd_60sec_store
905,1.1.7.58,1.1.132.15:/abcd_-original
905,1.1.7.58,1.1.132.15:/abcd_inventoryestimation
905,1.1.7.58,1.1.132.15:/abcd_misc1
905,1.1.7.58,1.1.132.15:/abcd_storage1
905,1.1.7.58,1.1.132.15:/abcd_storage2
905,1.1.7.58,1.1.132.15:/abcd_storage3
905,1.1.7.58,1.1.132.15:/abcd_storage4
905,1.1.7.58,1.1.132.15:/abcd_storage5
905,1.1.7.58,1.1.132.15:/abcd_storage6
905,1.1.7.58,1.1.132.15:/abcd_storage7
905,1.1.7.58,1.1.132.15:/hnewhunt
905,1.1.7.58,1.1.132.15:/old_events_archival
905,1.1.7.58,1.1.132.15:/stagepgc
905,1.1.7.58,1.1.132.15:/abcd-data
905,1.1.7.58,1.1.132.15:/abcd-1
905,1.1.7.58,1.1.132.15:/abcd-nas-db-vol1/mnt/db-backup-ntss
905,1.1.7.58,10.30.32.252:/VVVP__VMVol19
905,1.1.7.58,10.30.32.13:/glustervol6
905,1.1.7.58,10.30.32.13:/glustervol10
906,1.1.7.64,1.2.32.12:/xyz7
906,1.1.7.64,1.2.32.12:/xyz10
906,1.1.7.64,1.2.32.12:/xyz6
906,1.1.7.64,1.2.32.12:/xyz15
906,1.1.7.64,1.2.32.12:/xyz17
906,1.1.7.64,1.2.10.210:/PQRST_186VOL01
906,1.1.7.64,1.2.32.252:/PQRST_BRIC9_VOL01
906,1.1.7.64,1.2.32.252:/PQRST_185_186VOL05
906,1.1.7.64,1.2.32.12:/xyz11
907,1.1.7.68,1.2.32.12:/xyz7
907,1.1.7.68,1.2.32.12:/xyz10
907,1.1.7.68,1.2.32.12:/xyz6
907,1.1.7.68,1.2.32.12:/xyz15
907,1.1.7.68,1.2.32.12:/xyz17
907,1.1.7.68,1.2.10.210:/PQRST_186VOL01
907,1.1.7.68,1.2.10.210:/PQRST_BRIC9_VOL01
907,1.1.7.68,1.2.32.252:/PQRST_185_186VOL05
907,1.1.7.68,1.2.32.12:/xyz18
907,1.1.7.68,1.2.32.12:/xyz11
908,1.1.7.69,1.2.32.12:/xyz7
908,1.1.7.69,1.2.32.12:/xyz10
908,1.1.7.69,1.2.32.12:/xyz6
908,1.1.7.69,1.2.32.12:/xyz15
908,1.1.7.69,1.2.32.12:/xyz17
908,1.1.7.69,1.2.10.210:/PQRST_186VOL01
908,1.1.7.69,1.2.32.252:/PQRST_BRIC9_VOL01
908,1.1.7.69,1.2.32.252:/PQRST_185_186VOL05
908,1.1.7.69,1.2.32.12:/xyz18
908,1.1.7.69,1.2.32.12:/xyz11
909,1.1.7.80,1.1.132.15:/__vol1
909,1.1.7.80,1.1.132.15:/__vol2
910,1.1.7.81,1.1.132.15:/__vol1
910,1.1.7.81,1.1.132.15:/__vol2
